id,entity_id,entity_type,alert_type,source_rule,severity,status,created_date,linked_case_id
alt_0001,per_0001,PERSON,SANCTIONS,SANCTIONS_MATCH,High,OPEN,2026-08-03,cas_0004
alt_0002,per_0003,PERSON,ADVERSE_MEDIA,ADVERSE_MEDIA_MATCH,High,OPEN,2026-08-01,
alt_0003,cmp_0006,COMPANY,PEP,PEP_DIRECTOR,Medium,OPEN,2026-07-29,
alt_0004,cmp_0001,COMPANY,UBO,UBO_CYCLE,Medium,OPEN,2026-07-18,cas_0002
alt_0005,pay_0004,PAYMENT,TRANSACTION,OVERPAYMENT_RULE,Medium,OPEN,2026-07-30,
alt_0006,pay_0008,PAYMENT,TRANSACTION,THIRD_PARTY_RULE,Medium,OPEN,2026-07-30,
alt_0007,pay_0012,PAYMENT,TRANSACTION,UNEXPECTED_CURRENCY_RULE,Low,OPEN,2026-07-30,
alt_0008,trs_0001,TRUST,UBO,NO_SINGLE_UBO,High,OPEN,2026-07-26,
alt_0009,per_0051,PERSON,PEP,PEP_SELF,High,OPEN,2026-07-31,
alt_0010,cmp_0020,COMPANY,PEP,PEP_DIRECTOR,Medium,OPEN,2026-06-11,
alt_0011,per_0063,PERSON,ADVERSE_MEDIA,ADVERSE_MEDIA_MATCH,Medium,OPEN,2026-05-23,
alt_0012,cmp_0022,COMPANY,PEP,PEP_DIRECTOR,Medium,OPEN,2026-06-10,
alt_0013,cmp_0058,COMPANY,PEP,PEP_DIRECTOR,Medium,OPEN,2026-06-11,
alt_0014,per_0115,PERSON,PEP,PEP_SELF,Medium,OPEN,2026-07-16,
alt_0015,per_0058,PERSON,SANCTIONS,SANCTIONS_MATCH,High,OPEN,2026-07-25,
alt_0016,per_0054,PERSON,ADVERSE_MEDIA,ADVERSE_MEDIA_MATCH,Medium,OPEN,2026-06-15,
alt_0017,per_0075,PERSON,PEP,PEP_SELF,Medium,CLOSED,2026-06-04,
alt_0018,cmp_0055,COMPANY,PEP,PEP_DIRECTOR,Medium,REVIEW,2026-05-02,
alt_0019,cmp_0056,COMPANY,PEP,PEP_DIRECTOR,Medium,OPEN,2026-05-03,
alt_0020,per_0094,PERSON,PEP,PEP_SELF,Medium,REVIEW,2026-07-23,
alt_0021,per_0054,PERSON,ADVERSE_MEDIA,ADVERSE_MEDIA_MATCH,Medium,OPEN,2026-05-22,
alt_0022,per_0080,PERSON,PEP,PEP_SELF,Medium,CLOSED,2026-07-08,
alt_0023,per_0022,PERSON,PEP,PEP_SELF,Medium,REVIEW,2026-04-07,
alt_0024,per_0096,PERSON,ADVERSE_MEDIA,ADVERSE_MEDIA_MATCH,Medium,CLOSED,2026-06-26,
alt_0025,per_0019,PERSON,PEP,PEP_SELF,Medium,REVIEW,2026-04-09,
alt_0026,per_0055,PERSON,PEP,PEP_SELF,Medium,OPEN,2026-03-19,
alt_0027,per_0116,PERSON,PEP,PEP_SELF,Medium,OPEN,2026-05-26,
alt_0028,cmp_0037,COMPANY,PEP,PEP_DIRECTOR,Medium,OPEN,2026-04-07,
alt_0029,per_0084,PERSON,ADVERSE_MEDIA,ADVERSE_MEDIA_MATCH,Medium,OPEN,2026-05-25,
alt_0030,cmp_0042,COMPANY,PEP,PEP_DIRECTOR,Medium,OPEN,2026-04-21,
alt_0031,cmp_0056,COMPANY,PEP,PEP_DIRECTOR,Medium,OPEN,2026-03-17,
alt_0032,per_0015,PERSON,PEP,PEP_SELF,Medium,CLOSED,2026-06-01,
alt_0033,per_0023,PERSON,ADVERSE_MEDIA,ADVERSE_MEDIA_MATCH,Medium,OPEN,2026-08-04,
alt_0034,per_0036,PERSON,ADVERSE_MEDIA,ADVERSE_MEDIA_MATCH,Medium,OPEN,2026-06-24,
