id,capital_call_id,commitment_id,investor_id,allocated_amount,currency,status
calo_0001,cca_0001,ccm_0002,cmp_0005,569837,USD,LATE
calo_0002,cca_0001,ccm_0023,per_0014,5194535,USD,PAID
calo_0003,cca_0001,ccm_0026,per_0051,342331,USD,PAID
calo_0004,cca_0001,ccm_0066,trs_0001,2032080,USD,PAID
calo_0005,cca_0001,ccm_0132,cmp_0021,110368,USD,PAID
calo_0006,cca_0001,ccm_0139,per_0066,192308,USD,PAID
calo_0007,cca_0001,ccm_0150,cmp_0040,2840956,USD,PAID
calo_0008,cca_0002,ccm_0002,cmp_0005,2023862,USD,PAID
calo_0009,cca_0002,ccm_0058,per_0031,555817,USD,PAID
calo_0010,cca_0002,ccm_0062,trs_0006,175233,USD,LATE
calo_0011,cca_0002,ccm_0069,per_0063,823926,USD,PAID
calo_0012,cca_0002,ccm_0102,per_0049,1021213,USD,PAID
calo_0013,cca_0002,ccm_0132,cmp_0021,193369,USD,PAID
calo_0014,cca_0002,ccm_0139,per_0066,548166,USD,PAID
calo_0015,cca_0003,ccm_0002,cmp_0005,863414,USD,DUE
calo_0016,cca_0003,ccm_0023,per_0014,1347548,USD,PAID
calo_0017,cca_0003,ccm_0025,cmp_0022,652928,USD,LATE
calo_0018,cca_0003,ccm_0026,per_0051,449742,USD,LATE
calo_0019,cca_0003,ccm_0037,per_0034,43887,USD,PAID
calo_0020,cca_0003,ccm_0058,per_0031,1571451,USD,PAID
calo_0021,cca_0003,ccm_0066,trs_0001,1203765,USD,PAID
calo_0022,cca_0003,ccm_0088,per_0080,479007,USD,PAID
calo_0023,cca_0003,ccm_0139,per_0066,155994,USD,PAID
calo_0024,cca_0004,ccm_0007,per_0066,231913,USD,DUE
calo_0025,cca_0004,ccm_0018,per_0032,10195165,USD,PAID
calo_0026,cca_0004,ccm_0030,cmp_0036,231260,USD,LATE
calo_0027,cca_0004,ccm_0042,cmp_0017,5636137,USD,PAID
calo_0028,cca_0004,ccm_0064,trs_0003,1955983,USD,PAID
calo_0029,cca_0004,ccm_0075,per_0008,16854066,USD,PAID
calo_0030,cca_0004,ccm_0123,per_0077,21374548,USD,PAID
calo_0031,cca_0004,ccm_0143,per_0011,16093568,USD,PAID
calo_0032,cca_0005,ccm_0006,per_0019,1193834,USD,PAID
calo_0033,cca_0005,ccm_0007,per_0066,153361,USD,PAID
calo_0034,cca_0005,ccm_0024,per_0030,21875679,USD,DUE
calo_0035,cca_0005,ccm_0042,cmp_0017,4564196,USD,PAID
calo_0036,cca_0005,ccm_0057,per_0012,10469325,USD,LATE
calo_0037,cca_0005,ccm_0064,trs_0003,1258776,USD,PAID
calo_0038,cca_0005,ccm_0065,per_0053,305133,USD,PAID
calo_0039,cca_0005,ccm_0068,cmp_0005,175749,USD,PAID
calo_0040,cca_0005,ccm_0075,per_0008,15476657,USD,DUE
calo_0041,cca_0005,ccm_0081,cmp_0025,22522920,USD,PAID
calo_0042,cca_0005,ccm_0124,trs_0002,235075,USD,PAID
calo_0043,cca_0005,ccm_0147,cmp_0019,3877930,USD,PAID
calo_0044,cca_0006,ccm_0007,per_0066,201016,USD,DUE
calo_0045,cca_0006,ccm_0018,per_0032,7756640,USD,PAID
calo_0046,cca_0006,ccm_0024,per_0030,6665819,USD,PAID
calo_0047,cca_0006,ccm_0042,cmp_0017,5528370,USD,PAID
calo_0048,cca_0006,ccm_0045,cmp_0036,8861115,USD,PAID
calo_0049,cca_0006,ccm_0057,per_0012,5619089,USD,PAID
calo_0050,cca_0006,ccm_0064,trs_0003,2231092,USD,PAID
calo_0051,cca_0006,ccm_0081,cmp_0025,24446216,USD,DUE
calo_0052,cca_0006,ccm_0123,per_0077,29858700,USD,PAID
calo_0053,cca_0006,ccm_0124,trs_0002,225434,USD,PAID
calo_0054,cca_0006,ccm_0126,per_0028,11380029,USD,PAID
calo_0055,cca_0006,ccm_0147,cmp_0019,1324467,USD,PAID
calo_0056,cca_0007,ccm_0006,per_0019,5853577,USD,PAID
calo_0057,cca_0007,ccm_0018,per_0032,6692333,USD,LATE
calo_0058,cca_0007,ccm_0042,cmp_0017,1491729,USD,PAID
calo_0059,cca_0007,ccm_0081,cmp_0025,28074042,USD,DUE
calo_0060,cca_0007,ccm_0124,trs_0002,239055,USD,PAID
calo_0061,cca_0007,ccm_0126,per_0028,24032640,USD,DUE
calo_0062,cca_0007,ccm_0143,per_0011,11707392,USD,PAID
calo_0063,cca_0007,ccm_0147,cmp_0019,2047055,USD,LATE
calo_0064,cca_0008,ccm_0031,per_0006,13234764,USD,PAID
calo_0065,cca_0008,ccm_0048,trs_0001,196066,USD,PAID
calo_0066,cca_0008,ccm_0050,per_0078,180393,USD,DUE
calo_0067,cca_0008,ccm_0067,cmp_0036,1877666,USD,PAID
calo_0068,cca_0008,ccm_0071,cmp_0024,1334503,USD,PAID
calo_0069,cca_0008,ccm_0082,per_0068,13876449,USD,LATE
calo_0070,cca_0008,ccm_0090,per_0068,136247,USD,LATE
calo_0071,cca_0008,ccm_0104,per_0011,8246321,USD,PAID
calo_0072,cca_0008,ccm_0105,per_0089,2629309,USD,DUE
calo_0073,cca_0008,ccm_0140,per_0038,244250,USD,PAID
calo_0074,cca_0008,ccm_0141,per_0070,146787,USD,PAID
calo_0075,cca_0008,ccm_0146,per_0070,1129245,USD,PAID
calo_0076,cca_0009,ccm_0022,per_0018,6172095,USD,PAID
calo_0077,cca_0009,ccm_0029,per_0069,11069884,USD,PAID
calo_0078,cca_0009,ccm_0031,per_0006,26337036,USD,PAID
calo_0079,cca_0009,ccm_0050,per_0078,180964,USD,PAID
calo_0080,cca_0009,ccm_0067,cmp_0036,3419738,USD,DUE
calo_0081,cca_0009,ccm_0071,cmp_0024,1508997,USD,LATE
calo_0082,cca_0009,ccm_0082,per_0068,35340280,USD,PAID
calo_0083,cca_0009,ccm_0095,per_0045,5293455,USD,PAID
calo_0084,cca_0009,ccm_0104,per_0011,11743080,USD,PAID
calo_0085,cca_0009,ccm_0117,per_0010,7475498,USD,PAID
calo_0086,cca_0009,ccm_0135,per_0058,29434321,USD,PAID
calo_0087,cca_0009,ccm_0140,per_0038,109003,USD,PAID
calo_0088,cca_0009,ccm_0141,per_0070,142951,USD,DUE
calo_0089,cca_0010,ccm_0022,per_0018,13110524,USD,PAID
calo_0090,cca_0010,ccm_0027,cmp_0026,9342279,USD,PAID
calo_0091,cca_0010,ccm_0029,per_0069,15578199,USD,PAID
calo_0092,cca_0010,ccm_0031,per_0006,35465822,USD,PAID
calo_0093,cca_0010,ccm_0048,trs_0001,54160,USD,PAID
calo_0094,cca_0010,ccm_0067,cmp_0036,1529122,USD,PAID
calo_0095,cca_0010,ccm_0071,cmp_0024,2276710,USD,LATE
calo_0096,cca_0010,ccm_0074,per_0031,1553848,USD,PAID
calo_0097,cca_0010,ccm_0082,per_0068,7699375,USD,PAID
calo_0098,cca_0010,ccm_0086,per_0074,740691,USD,PAID
calo_0099,cca_0010,ccm_0090,per_0068,239266,USD,PAID
calo_0100,cca_0010,ccm_0105,per_0089,3568153,USD,DUE
calo_0101,cca_0010,ccm_0117,per_0010,8625709,USD,PAID
calo_0102,cca_0010,ccm_0135,per_0058,19682683,USD,PAID
calo_0103,cca_0010,ccm_0141,per_0070,40823,USD,LATE
calo_0104,cca_0010,ccm_0146,per_0070,1143801,USD,PAID
calo_0105,cca_0011,ccm_0022,per_0018,6058142,USD,LATE
calo_0106,cca_0011,ccm_0029,per_0069,22987895,USD,PAID
calo_0107,cca_0011,ccm_0031,per_0006,24060299,USD,DUE
calo_0108,cca_0011,ccm_0050,per_0078,95261,USD,DUE
calo_0109,cca_0011,ccm_0063,cmp_0011,1295448,USD,PAID
calo_0110,cca_0011,ccm_0067,cmp_0036,3438796,USD,PAID
calo_0111,cca_0011,ccm_0071,cmp_0024,2068720,USD,DUE
calo_0112,cca_0011,ccm_0082,per_0068,25954600,USD,PAID
calo_0113,cca_0011,ccm_0086,per_0074,995144,USD,PAID
calo_0114,cca_0011,ccm_0090,per_0068,204324,USD,PAID
calo_0115,cca_0011,ccm_0117,per_0010,3488918,USD,PAID
calo_0116,cca_0011,ccm_0135,per_0058,31312473,USD,PAID
calo_0117,cca_0011,ccm_0140,per_0038,180828,USD,PAID
calo_0118,cca_0011,ccm_0141,per_0070,134392,USD,PAID
calo_0119,cca_0012,ccm_0027,cmp_0026,8848391,USD,PAID
calo_0120,cca_0012,ccm_0031,per_0006,25368536,USD,PAID
calo_0121,cca_0012,ccm_0048,trs_0001,40910,USD,PAID
calo_0122,cca_0012,ccm_0067,cmp_0036,5225371,USD,PAID
calo_0123,cca_0012,ccm_0078,per_0038,4501848,USD,DUE
calo_0124,cca_0012,ccm_0095,per_0045,7168169,USD,DUE
calo_0125,cca_0012,ccm_0104,per_0011,10101439,USD,PAID
calo_0126,cca_0012,ccm_0116,per_0076,227942,USD,LATE
calo_0127,cca_0012,ccm_0135,per_0058,10907478,USD,DUE
calo_0128,cca_0012,ccm_0141,per_0070,95356,USD,PAID
calo_0129,cca_0012,ccm_0146,per_0070,876388,USD,PAID
calo_0130,cca_0013,ccm_0022,per_0018,4467033,USD,PAID
calo_0131,cca_0013,ccm_0050,per_0078,88988,USD,LATE
calo_0132,cca_0013,ccm_0067,cmp_0036,5356120,USD,DUE
calo_0133,cca_0013,ccm_0071,cmp_0024,521624,USD,PAID
calo_0134,cca_0013,ccm_0074,per_0031,4336653,USD,DUE
calo_0135,cca_0013,ccm_0078,per_0038,2657318,USD,PAID
calo_0136,cca_0013,ccm_0090,per_0068,92993,USD,PAID
calo_0137,cca_0013,ccm_0104,per_0011,15177089,USD,PAID
calo_0138,cca_0013,ccm_0116,per_0076,217005,USD,PAID
calo_0139,cca_0013,ccm_0135,per_0058,14415917,USD,PAID
calo_0140,cca_0013,ccm_0140,per_0038,180519,USD,PAID
calo_0141,cca_0013,ccm_0146,per_0070,1082376,USD,PAID
calo_0142,cca_0014,ccm_0027,cmp_0026,9745217,USD,LATE
calo_0143,cca_0014,ccm_0031,per_0006,33457842,USD,DUE
calo_0144,cca_0014,ccm_0048,trs_0001,234844,USD,DUE
calo_0145,cca_0014,ccm_0071,cmp_0024,1463945,USD,PAID
calo_0146,cca_0014,ccm_0090,per_0068,125162,USD,PAID
calo_0147,cca_0014,ccm_0095,per_0045,4992436,USD,PAID
calo_0148,cca_0014,ccm_0104,per_0011,11056563,USD,PAID
calo_0149,cca_0014,ccm_0116,per_0076,172344,USD,PAID
calo_0150,cca_0014,ccm_0135,per_0058,30115104,USD,LATE
calo_0151,cca_0014,ccm_0146,per_0070,1024104,USD,DUE
calo_0152,cca_0015,ccm_0005,per_0044,10726343,USD,DUE
calo_0153,cca_0015,ccm_0009,per_0017,4696185,USD,PAID
calo_0154,cca_0015,ccm_0010,per_0074,2585618,USD,PAID
calo_0155,cca_0015,ccm_0013,cmp_0034,11250777,USD,DUE
calo_0156,cca_0015,ccm_0098,per_0053,2018032,USD,PAID
calo_0157,cca_0015,ccm_0100,cmp_0001,10677934,USD,PAID
calo_0158,cca_0015,ccm_0111,trs_0003,5437412,USD,PAID
calo_0159,cca_0015,ccm_0113,trs_0001,171221,USD,PAID
calo_0160,cca_0015,ccm_0114,per_0043,283393,USD,DUE
calo_0161,cca_0015,ccm_0125,cmp_0023,154964,USD,LATE
calo_0162,cca_0015,ccm_0131,per_0070,17553803,USD,PAID
calo_0163,cca_0015,ccm_0142,per_0019,1100791,USD,LATE
calo_0164,cca_0015,ccm_0148,cmp_0010,3761300,USD,PAID
calo_0165,cca_0016,ccm_0004,per_0090,410349,USD,PAID
calo_0166,cca_0016,ccm_0010,per_0074,5419211,USD,LATE
calo_0167,cca_0016,ccm_0034,cmp_0021,416308,USD,DUE
calo_0168,cca_0016,ccm_0098,per_0053,1003060,USD,PAID
calo_0169,cca_0016,ccm_0113,trs_0001,78915,USD,PAID
calo_0170,cca_0016,ccm_0114,per_0043,420986,USD,LATE
calo_0171,cca_0016,ccm_0125,cmp_0023,62677,USD,PAID
calo_0172,cca_0016,ccm_0131,per_0070,9397825,USD,PAID
calo_0173,cca_0016,ccm_0138,per_0072,431452,USD,PAID
calo_0174,cca_0016,ccm_0144,per_0066,315961,USD,PAID
calo_0175,cca_0016,ccm_0148,cmp_0010,2410225,USD,PAID
calo_0176,cca_0017,ccm_0005,per_0044,11890465,USD,PAID
calo_0177,cca_0017,ccm_0034,cmp_0021,193299,USD,PAID
calo_0178,cca_0017,ccm_0098,per_0053,1816508,USD,PAID
calo_0179,cca_0017,ccm_0100,cmp_0001,24158045,USD,PAID
calo_0180,cca_0017,ccm_0106,trs_0005,194067,USD,PAID
calo_0181,cca_0017,ccm_0114,per_0043,547943,USD,DUE
calo_0182,cca_0017,ccm_0142,per_0019,1392217,USD,PAID
calo_0183,cca_0017,ccm_0148,cmp_0010,4603568,USD,DUE
calo_0184,cca_0018,ccm_0009,per_0017,1522534,USD,PAID
calo_0185,cca_0018,ccm_0010,per_0074,1900910,USD,LATE
calo_0186,cca_0018,ccm_0013,cmp_0034,2125066,USD,PAID
calo_0187,cca_0018,ccm_0044,per_0008,3758802,USD,PAID
calo_0188,cca_0018,ccm_0098,per_0053,1464875,USD,PAID
calo_0189,cca_0018,ccm_0100,cmp_0001,14514146,USD,DUE
calo_0190,cca_0018,ccm_0106,trs_0005,201690,USD,PAID
calo_0191,cca_0018,ccm_0111,trs_0003,13429742,USD,DUE
calo_0192,cca_0018,ccm_0114,per_0043,375300,USD,PAID
calo_0193,cca_0018,ccm_0144,per_0066,255959,USD,PAID
calo_0194,cca_0018,ccm_0148,cmp_0010,2204917,USD,PAID
calo_0195,cca_0019,ccm_0004,per_0090,472175,USD,PAID
calo_0196,cca_0019,ccm_0005,per_0044,8555476,USD,PAID
calo_0197,cca_0019,ccm_0009,per_0017,4565410,USD,PAID
calo_0198,cca_0019,ccm_0034,cmp_0021,383586,USD,LATE
calo_0199,cca_0019,ccm_0044,per_0008,9925388,USD,PAID
calo_0200,cca_0019,ccm_0098,per_0053,1405449,USD,DUE
calo_0201,cca_0019,ccm_0100,cmp_0001,21715478,USD,PAID
calo_0202,cca_0019,ccm_0111,trs_0003,16320457,USD,DUE
calo_0203,cca_0019,ccm_0113,trs_0001,139739,USD,PAID
calo_0204,cca_0019,ccm_0114,per_0043,435284,USD,PAID
calo_0205,cca_0019,ccm_0131,per_0070,6366264,USD,DUE
calo_0206,cca_0019,ccm_0138,per_0072,562777,USD,PAID
