id,fund_id,call_number,call_date,due_date,total_call_amount,currency
cca_0001,fnd_0001,1,2024-07-22,2026-05-24,36000000,USD
cca_0002,fnd_0001,2,2024-04-07,2024-12-25,30000000,USD
cca_0003,fnd_0001,3,2025-11-28,2025-07-06,6000000,USD
cca_0004,fnd_0002,1,2026-05-25,2025-12-26,39000000,USD
cca_0005,fnd_0002,2,2024-07-19,2025-09-23,33000000,USD
cca_0006,fnd_0002,3,2025-02-15,2025-12-03,22000000,USD
cca_0007,fnd_0002,4,2026-01-23,2025-12-09,4000000,USD
cca_0008,fnd_0003,1,2024-08-03,2025-02-15,11000000,USD
cca_0009,fnd_0003,2,2025-04-29,2025-07-11,34000000,USD
cca_0010,fnd_0003,3,2025-06-18,2025-03-03,13000000,USD
cca_0011,fnd_0003,4,2025-05-05,2026-03-18,18000000,USD
cca_0012,fnd_0003,5,2025-05-19,2025-08-18,17000000,USD
cca_0013,fnd_0003,6,2024-05-10,2025-08-10,15000000,USD
cca_0014,fnd_0003,7,2024-06-26,2026-04-18,11000000,USD
cca_0015,fnd_0004,1,2024-10-24,2025-03-17,30000000,USD
cca_0016,fnd_0004,2,2026-06-25,2026-07-07,3000000,USD
cca_0017,fnd_0004,3,2025-07-15,2026-03-03,19000000,USD
cca_0018,fnd_0004,4,2026-07-14,2026-06-08,34000000,USD
cca_0019,fnd_0004,5,2024-08-26,2025-09-18,17000000,USD
cca_0020,fnd_0004,6,2024-11-02,2026-03-02,20000000,USD
cca_0021,fnd_0004,7,2025-06-20,2026-01-09,8000000,USD
cca_0022,fnd_0004,8,2024-09-03,2026-04-06,24000000,USD
cca_0023,fnd_0005,1,2025-06-29,2025-09-09,24000000,USD
cca_0024,fnd_0005,2,2025-11-30,2025-03-09,31000000,USD
cca_0025,fnd_0005,3,2024-09-25,2026-05-22,18000000,USD
cca_0026,fnd_0005,4,2025-10-07,2025-06-26,37000000,USD
cca_0027,fnd_0005,5,2025-12-23,2025-11-28,28000000,USD
cca_0028,fnd_0005,6,2025-08-20,2025-10-11,11000000,USD
cca_0029,fnd_0005,7,2025-02-14,2025-03-06,36000000,USD
cca_0030,fnd_0005,8,2024-08-16,2026-03-20,4000000,USD
cca_0031,fnd_0006,1,2025-04-08,2025-04-16,35000000,USD
cca_0032,fnd_0006,2,2025-10-01,2025-07-21,33000000,USD
cca_0033,fnd_0006,3,2024-06-08,2025-04-06,30000000,USD
cca_0034,fnd_0006,4,2026-02-25,2026-03-09,29000000,USD
cca_0035,fnd_0006,5,2026-04-24,2025-02-02,9000000,USD
cca_0036,fnd_0007,1,2026-01-05,2025-05-07,20000000,USD
cca_0037,fnd_0007,2,2026-02-11,2025-12-25,13000000,USD
cca_0038,fnd_0007,3,2025-05-14,2025-12-20,30000000,USD
cca_0039,fnd_0007,4,2025-04-09,2025-07-21,10000000,USD
cca_0040,fnd_0007,5,2024-04-21,2026-05-25,26000000,USD
cca_0041,fnd_0007,6,2026-01-27,2025-01-15,6000000,USD
cca_0042,fnd_0008,1,2026-03-09,2025-03-05,22000000,USD
cca_0043,fnd_0008,2,2024-11-19,2025-08-08,19000000,USD
cca_0044,fnd_0008,3,2025-08-12,2026-04-22,2000000,USD
