id,participation_id,fund_id,investor_id,commitment_amount,commitment_currency,commitment_date,funded_amount,remaining_commitment,status
ccm_0001,par_0001,fnd_0007,per_0047,150000000,USD,2026-04-20,45083085,104916915,ACTIVE
ccm_0002,par_0002,fnd_0001,cmp_0005,20000000,USD,2023-10-19,4467877,15532123,ACTIVE
ccm_0003,par_0003,fnd_0007,per_0033,5000000,USD,2021-09-05,3819380,1180620,ACTIVE
ccm_0004,par_0004,fnd_0004,per_0090,5000000,USD,2026-03-06,1993114,3006886,ACTIVE
ccm_0005,par_0005,fnd_0004,per_0044,150000000,USD,2026-04-06,82738565,67261435,ACTIVE
ccm_0006,par_0006,fnd_0002,per_0019,50000000,USD,2022-01-01,19549550,30450450,ACTIVE
ccm_0007,par_0007,fnd_0002,per_0066,2000000,USD,2022-12-07,1642310,357690,ACTIVE
ccm_0008,par_0008,fnd_0005,per_0048,50000000,USD,2024-03-27,23549846,26450154,ACTIVE
ccm_0009,par_0009,fnd_0004,per_0017,50000000,USD,2024-11-06,32886995,17113005,ACTIVE
ccm_0010,par_0010,fnd_0004,per_0074,50000000,USD,2023-08-25,11716044,38283956,ACTIVE
ccm_0011,par_0011,fnd_0008,trs_0003,50000000,USD,2021-12-21,41338870,8661130,ACTIVE
ccm_0012,par_0012,fnd_0008,per_0069,5000000,USD,2023-05-06,1012180,3987820,ACTIVE
ccm_0013,par_0013,fnd_0004,cmp_0034,100000000,USD,2022-07-15,43629238,56370762,ACTIVE
ccm_0014,par_0014,fnd_0006,cmp_0018,5000000,USD,2021-09-15,2860447,2139553,ACTIVE
ccm_0015,par_0015,fnd_0007,per_0005,300000000,USD,2024-09-26,75206171,224793829,ACTIVE
ccm_0016,par_0016,fnd_0006,per_0058,5000000,USD,2024-02-06,3981518,1018482,ACTIVE
ccm_0017,par_0017,fnd_0007,per_0006,10000000,USD,2022-04-28,4540540,5459460,ACTIVE
ccm_0018,par_0018,fnd_0002,per_0032,150000000,USD,2026-03-13,122564132,27435868,ACTIVE
ccm_0019,par_0019,fnd_0008,per_0089,2000000,USD,2022-01-04,601874,1398126,ACTIVE
ccm_0020,par_0020,fnd_0007,per_0017,5000000,USD,2021-10-13,4253905,746095,ACTIVE
ccm_0021,par_0021,fnd_0008,per_0009,100000000,USD,2024-04-13,56663044,43336956,ACTIVE
ccm_0022,par_0022,fnd_0003,per_0018,150000000,USD,2024-06-05,96365020,53634980,ACTIVE
ccm_0023,par_0023,fnd_0001,per_0014,50000000,USD,2024-09-06,11227647,38772353,ACTIVE
ccm_0024,par_0024,fnd_0002,per_0030,300000000,USD,2023-03-27,167952816,132047184,ACTIVE
ccm_0025,par_0025,fnd_0001,cmp_0022,10000000,USD,2023-01-29,6796360,3203640,ACTIVE
ccm_0026,par_0026,fnd_0001,per_0051,5000000,USD,2022-10-12,3775934,1224066,ACTIVE
ccm_0027,par_0027,fnd_0003,cmp_0026,150000000,USD,2025-02-21,98571113,51428887,ACTIVE
ccm_0028,par_0028,fnd_0008,per_0086,50000000,USD,2025-01-05,31775282,18224718,ACTIVE
ccm_0029,par_0029,fnd_0003,per_0069,300000000,USD,2023-02-28,109257763,190742237,ACTIVE
ccm_0030,par_0030,fnd_0002,cmp_0036,5000000,USD,2021-03-04,3090904,1909096,ACTIVE
ccm_0031,par_0031,fnd_0003,per_0006,300000000,USD,2023-08-12,238788272,61211728,ACTIVE
ccm_0032,par_0032,fnd_0008,per_0021,20000000,USD,2024-10-10,6247930,13752070,ACTIVE
ccm_0033,par_0033,fnd_0006,per_0010,300000000,USD,2021-12-08,244976971,55023029,ACTIVE
ccm_0034,par_0034,fnd_0004,cmp_0021,5000000,USD,2025-08-12,2627096,2372904,ACTIVE
ccm_0035,par_0035,fnd_0007,per_0028,300000000,USD,2025-05-09,237513625,62486375,ACTIVE
ccm_0036,par_0036,fnd_0008,cmp_0035,50000000,USD,2025-01-26,44380961,5619039,ACTIVE
ccm_0037,par_0037,fnd_0001,per_0034,2000000,USD,2025-12-26,1382904,617096,ACTIVE
ccm_0038,par_0038,fnd_0006,per_0059,5000000,USD,2021-08-07,1911204,3088796,ACTIVE
ccm_0039,par_0039,fnd_0008,per_0011,2000000,USD,2024-10-27,1431125,568875,ACTIVE
ccm_0040,par_0040,fnd_0007,trs_0006,300000000,USD,2023-10-16,183913103,116086897,ACTIVE
ccm_0041,par_0041,fnd_0008,per_0017,10000000,USD,2023-11-16,5417374,4582626,ACTIVE
ccm_0042,par_0042,fnd_0002,cmp_0017,50000000,USD,2023-12-06,19949541,30050459,ACTIVE
ccm_0043,par_0043,fnd_0007,per_0018,2000000,USD,2023-07-14,706293,1293707,ACTIVE
ccm_0044,par_0044,fnd_0004,per_0008,100000000,USD,2024-08-05,36536796,63463204,ACTIVE
ccm_0045,par_0045,fnd_0002,cmp_0036,300000000,USD,2025-03-01,210811792,89188208,ACTIVE
ccm_0046,par_0046,fnd_0004,cmp_0034,150000000,USD,2021-12-27,130929392,19070608,ACTIVE
ccm_0047,par_0047,fnd_0005,per_0067,150000000,USD,2021-04-06,38583637,111416363,ACTIVE
ccm_0048,par_0048,fnd_0003,trs_0001,2000000,USD,2024-03-05,1744441,255559,ACTIVE
ccm_0049,par_0049,fnd_0008,per_0085,20000000,USD,2024-07-16,12849773,7150227,ACTIVE
ccm_0050,par_0050,fnd_0003,per_0078,2000000,USD,2025-03-25,469984,1530016,ACTIVE
ccm_0051,par_0051,fnd_0008,per_0072,2000000,USD,2025-11-17,1539882,460118,ACTIVE
ccm_0052,par_0052,fnd_0006,cmp_0037,5000000,USD,2021-08-22,1176643,3823357,ACTIVE
ccm_0053,par_0053,fnd_0005,per_0088,2000000,USD,2022-11-11,784559,1215441,ACTIVE
ccm_0054,par_0054,fnd_0006,per_0016,20000000,USD,2021-09-30,7148990,12851010,ACTIVE
ccm_0055,par_0055,fnd_0006,per_0090,50000000,USD,2024-02-10,44532537,5467463,ACTIVE
ccm_0056,par_0056,fnd_0008,per_0001,150000000,USD,2025-07-12,50933144,99066856,ACTIVE
ccm_0057,par_0057,fnd_0002,per_0012,150000000,USD,2024-12-03,88365928,61634072,ACTIVE
ccm_0058,par_0058,fnd_0001,per_0031,20000000,USD,2022-02-19,6756533,13243467,ACTIVE
ccm_0059,par_0059,fnd_0006,per_0050,150000000,USD,2026-04-24,43344152,106655848,ACTIVE
ccm_0060,par_0060,fnd_0005,cmp_0005,100000000,USD,2025-02-19,28371774,71628226,ACTIVE
ccm_0061,par_0061,fnd_0006,cmp_0001,20000000,USD,2025-05-01,15520943,4479057,ACTIVE
ccm_0062,par_0062,fnd_0001,trs_0006,5000000,USD,2024-06-13,1418939,3581061,ACTIVE
ccm_0063,par_0063,fnd_0003,cmp_0011,20000000,USD,2025-09-16,12495897,7504103,ACTIVE
ccm_0064,par_0064,fnd_0002,trs_0003,20000000,USD,2021-04-29,17341219,2658781,ACTIVE
ccm_0065,par_0065,fnd_0002,per_0053,10000000,USD,2026-03-07,4024979,5975021,ACTIVE
ccm_0066,par_0066,fnd_0001,trs_0001,20000000,USD,2025-11-24,14026944,5973056,ACTIVE
ccm_0067,par_0067,fnd_0003,cmp_0036,50000000,USD,2023-07-29,44264328,5735672,ACTIVE
ccm_0068,par_0068,fnd_0002,cmp_0005,2000000,USD,2022-04-29,943875,1056125,ACTIVE
ccm_0069,par_0069,fnd_0001,per_0063,20000000,USD,2021-06-04,10543001,9456999,ACTIVE
ccm_0070,par_0070,fnd_0005,per_0033,150000000,USD,2025-08-18,58596576,91403424,ACTIVE
