id,case_type,entity_id,entity_type,priority,status,risk_score,opened_date,closed_date,assignee_role
cas_0001,EDD,trs_0001,TRUST,High,OPEN,88,2026-07-26,,COMPLIANCE
cas_0002,UBO_REVIEW,cmp_0001,COMPANY,Medium,OPEN,70,2026-07-18,,AML_OFFICER
cas_0003,UBO_REVIEW,cmp_0006,COMPANY,Low,OPEN,45,2026-07-08,,COMPLIANCE
cas_0004,SCREENING_HIT,per_0001,PERSON,High,OPEN,95,2026-08-03,,AML_OFFICER
cas_0005,INVESTOR_ONBOARDING,per_0011,PERSON,High,CLOSED,90,2026-05-27,2026-07-10,COMPLIANCE
cas_0006,EDD,cmp_0006,COMPANY,High,OPEN,40,2026-06-26,,SENIOR_MGMT
cas_0007,PAYMENT_MISMATCH,pay_0004,PAYMENT,High,OPEN,38,2026-06-15,,AML_OFFICER
cas_0008,PAYMENT_MISMATCH,pay_0008,PAYMENT,High,CLOSED,45,2026-07-16,2026-07-01,AML_OFFICER
cas_0009,CAPITAL_CALL_EXCEPTION,pay_0012,PAYMENT,High,OPEN,90,2026-07-06,,SENIOR_MGMT
cas_0010,SCREENING_HIT,per_0003,PERSON,High,OPEN,35,2026-08-05,,AML_OFFICER
cas_0011,SCREENING_HIT,per_0021,PERSON,Medium,CLOSED,59,2026-06-24,2026-07-06,SENIOR_MGMT
cas_0012,STR,per_0006,INVESTOR,Medium,OPEN,42,2026-05-31,,AML_OFFICER
cas_0013,AUDIT_REQUEST,cmp_0004,INVESTOR,High,CLOSED,78,2026-06-28,2026-06-18,AML_OFFICER
cas_0014,INVESTOR_ONBOARDING,trs_0002,TRUST,High,OPEN,31,2026-07-07,,SENIOR_MGMT
cas_0015,EDD,cmp_0050,COMPANY,Low,OPEN,72,2026-07-27,,SENIOR_MGMT
cas_0016,SCREENING_HIT,per_0097,PERSON,Low,OPEN,36,2026-07-07,,AML_OFFICER
cas_0017,EDD,cmp_0040,COMPANY,Low,CLOSED,44,2026-06-26,2026-07-31,SENIOR_MGMT
cas_0018,EDD,cmp_0037,COMPANY,High,CLOSED,49,2026-08-02,2026-06-10,AML_OFFICER
cas_0019,INVESTOR_ONBOARDING,per_0035,PERSON,Low,OPEN,30,2026-06-05,,AML_OFFICER
cas_0020,SCREENING_HIT,per_0018,PERSON,Low,OPEN,43,2026-06-26,,SENIOR_MGMT
cas_0021,INVESTOR_ONBOARDING,per_0101,PERSON,Low,OPEN,44,2026-04-11,,COMPLIANCE
cas_0022,EDD,cmp_0027,COMPANY,Medium,OPEN,37,2026-04-19,,COMPLIANCE
cas_0023,EDD,cmp_0023,COMPANY,High,CLOSED,30,2026-04-22,2026-06-11,AML_OFFICER
cas_0024,SCREENING_HIT,per_0046,PERSON,Low,CLOSED,60,2026-06-20,2026-08-02,AML_OFFICER
cas_0025,INVESTOR_ONBOARDING,per_0053,PERSON,High,OPEN,47,2026-05-16,,COMPLIANCE
cas_0026,CAPITAL_CALL_EXCEPTION,pay_0567,PAYMENT,Low,OPEN,37,2026-05-28,,SENIOR_MGMT
cas_0027,EDD,cmp_0026,COMPANY,High,CLOSED,83,2026-05-08,2026-07-11,AML_OFFICER
cas_0028,PAYMENT_MISMATCH,pay_0298,PAYMENT,High,CLOSED,33,2026-05-02,2026-06-23,AML_OFFICER
