id,doc_type,entity_id,entity_type,file_name,uploaded_date,verified,verification_status
doc_0001,BOARD_RESOLUTION,cmp_0015,COMPANY,cmp_0015_BOARD_RESOLUTION_180.pdf,2025-05-14,0,VERIFIED
doc_0002,TRUST_DEED,per_0032,PERSON,per_0032_TRUST_DEED_315.pdf,2023-09-13,1,VERIFIED
doc_0003,TIN,per_0004,PERSON,per_0004_TIN_533.pdf,2023-03-26,1,VERIFIED
doc_0004,CERTIFICATE_OF_INCORPORATION,cmp_0008,COMPANY,cmp_0008_CERTIFICATE_OF_INCORPORATION_148.pdf,2022-12-05,0,VERIFIED
doc_0005,KYC_FORM,per_0035,PERSON,per_0035_KYC_FORM_38.pdf,2022-10-18,1,VERIFIED
doc_0006,TIN,per_0005,PERSON,per_0005_TIN_155.pdf,2023-01-22,1,VERIFIED
doc_0007,KYC_FORM,per_0045,PERSON,per_0045_KYC_FORM_118.pdf,2025-08-11,1,VERIFIED
doc_0008,KYC_FORM,per_0042,PERSON,per_0042_KYC_FORM_271.pdf,2026-07-31,1,VERIFIED
doc_0009,PAN,per_0057,PERSON,per_0057_PAN_929.pdf,2024-03-06,1,VERIFIED
doc_0010,KYC_FORM,cmp_0023,COMPANY,cmp_0023_KYC_FORM_446.pdf,2025-01-18,1,VERIFIED
doc_0011,TRUST_DEED,per_0033,PERSON,per_0033_TRUST_DEED_303.pdf,2024-11-08,1,VERIFIED
doc_0012,CERTIFICATE_OF_INCORPORATION,per_0034,PERSON,per_0034_CERTIFICATE_OF_INCORPORATION_748.pdf,2024-02-18,1,VERIFIED
doc_0013,ADDRESS_PROOF,per_0039,PERSON,per_0039_ADDRESS_PROOF_607.pdf,2023-04-10,1,VERIFIED
doc_0014,TRUST_DEED,per_0011,PERSON,per_0011_TRUST_DEED_658.pdf,2026-04-29,1,VERIFIED
doc_0015,KYC_FORM,cmp_0008,COMPANY,cmp_0008_KYC_FORM_63.pdf,2026-04-04,1,VERIFIED
doc_0016,KYC_FORM,cmp_0025,COMPANY,cmp_0025_KYC_FORM_274.pdf,2024-12-08,0,VERIFIED
doc_0017,PAN,cmp_0010,COMPANY,cmp_0010_PAN_100.pdf,2025-10-28,1,VERIFIED
doc_0018,PAN,cmp_0009,COMPANY,cmp_0009_PAN_106.pdf,2023-05-11,1,VERIFIED
doc_0019,TIN,cmp_0014,COMPANY,cmp_0014_TIN_990.pdf,2024-10-12,1,VERIFIED
doc_0020,BOARD_RESOLUTION,per_0027,PERSON,per_0027_BOARD_RESOLUTION_325.pdf,2024-02-10,1,VERIFIED
doc_0021,TRUST_DEED,trs_0002,TRUST,trs_0002_TRUST_DEED_899.pdf,2023-04-16,0,VERIFIED
doc_0022,PASSPORT,per_0032,PERSON,per_0032_PASSPORT_145.pdf,2023-10-19,1,VERIFIED
doc_0023,ADDRESS_PROOF,per_0057,PERSON,per_0057_ADDRESS_PROOF_278.pdf,2026-03-21,1,VERIFIED
doc_0024,PASSPORT,per_0034,PERSON,per_0034_PASSPORT_475.pdf,2023-09-12,1,VERIFIED
doc_0025,CERTIFICATE_OF_INCORPORATION,per_0046,PERSON,per_0046_CERTIFICATE_OF_INCORPORATION_757.pdf,2026-06-13,1,VERIFIED
doc_0026,PASSPORT,per_0056,PERSON,per_0056_PASSPORT_218.pdf,2022-12-04,1,VERIFIED
doc_0027,ADDRESS_PROOF,cmp_0015,COMPANY,cmp_0015_ADDRESS_PROOF_997.pdf,2024-02-23,1,VERIFIED
doc_0028,BOARD_RESOLUTION,cmp_0024,COMPANY,cmp_0024_BOARD_RESOLUTION_367.pdf,2022-08-30,1,VERIFIED
doc_0029,BOARD_RESOLUTION,per_0009,PERSON,per_0009_BOARD_RESOLUTION_184.pdf,2023-08-18,0,VERIFIED
doc_0030,TIN,cmp_0010,COMPANY,cmp_0010_TIN_254.pdf,2024-03-30,1,VERIFIED
