id,source_id,source_type,relation,target_id,target_type,percentage,is_direct,start_date,end_date,metadata_json
edg_0001,cmp_0001,COMPANY,OWNS,cmp_0002,COMPANY,40,1,2022-08-16,,{}
edg_0002,cmp_0002,COMPANY,OWNS,cmp_0003,COMPANY,50,1,2021-09-25,,{}
edg_0003,cmp_0003,COMPANY,OWNS,cmp_0001,COMPANY,30,1,2018-11-06,,{}
edg_0004,per_0001,PERSON,OWNS,cmp_0004,COMPANY,100,1,2019-12-04,,{}
edg_0005,cmp_0004,COMPANY,OWNS,cmp_0005,COMPANY,80,1,2025-12-23,,{}
edg_0006,cmp_0005,COMPANY,OWNS,cmp_0006,COMPANY,70,1,2018-08-11,,{}
edg_0007,per_0039,PERSON,OWNS,cmp_0007,COMPANY,70,1,2022-12-17,,{}
edg_0008,per_0031,PERSON,OWNS,cmp_0009,COMPANY,100,1,2023-01-11,,{}
edg_0009,per_0052,PERSON,OWNS,cmp_0010,COMPANY,100,1,2019-11-26,,{}
edg_0010,per_0019,PERSON,OWNS,cmp_0011,COMPANY,40,1,2018-09-27,,{}
edg_0011,per_0037,PERSON,OWNS,cmp_0012,COMPANY,60,1,2025-08-23,,{}
edg_0012,per_0057,PERSON,OWNS,cmp_0014,COMPANY,100,1,2019-04-27,,{}
edg_0013,per_0038,PERSON,OWNS,cmp_0015,COMPANY,100,1,2019-08-16,,{}
edg_0014,per_0026,PERSON,OWNS,cmp_0016,COMPANY,40,1,2025-06-04,,{}
edg_0015,per_0038,PERSON,OWNS,cmp_0018,COMPANY,60,1,2022-01-17,,{}
edg_0016,per_0033,PERSON,OWNS,cmp_0019,COMPANY,60,1,2021-05-11,,{}
edg_0017,per_0016,PERSON,OWNS,cmp_0021,COMPANY,51,1,2023-07-10,,{}
edg_0018,per_0060,PERSON,OWNS,cmp_0022,COMPANY,100,1,2022-03-11,,{}
edg_0019,per_0039,PERSON,OWNS,cmp_0025,COMPANY,60,1,2024-04-21,,{}
edg_0020,per_0027,PERSON,OWNS,cmp_0027,COMPANY,70,1,2021-09-13,,{}
edg_0021,per_0011,PERSON,OWNS,cmp_0031,COMPANY,60,1,2025-02-25,,{}
edg_0022,per_0035,PERSON,OWNS,cmp_0032,COMPANY,60,1,2020-11-09,,{}
edg_0023,per_0043,PERSON,OWNS,cmp_0033,COMPANY,51,1,2024-10-31,,{}
edg_0024,per_0035,PERSON,OWNS,cmp_0035,COMPANY,51,1,2024-02-14,,{}
edg_0025,per_0001,PERSON,OWNS,cmp_0036,COMPANY,40,1,2023-06-09,,{}
edg_0026,per_0036,PERSON,OWNS,cmp_0038,COMPANY,51,1,2025-09-07,,{}
edg_0027,per_0030,PERSON,OWNS,cmp_0039,COMPANY,40,1,2023-06-20,,{}
edg_0028,per_0013,PERSON,OWNS,cmp_0041,COMPANY,60,1,2020-08-22,,{}
edg_0029,per_0010,PERSON,OWNS,cmp_0042,COMPANY,70,1,2021-12-13,,{}
edg_0030,per_0004,PERSON,OWNS,cmp_0043,COMPANY,51,1,2025-07-16,,{}
edg_0031,per_0039,PERSON,OWNS,cmp_0044,COMPANY,100,1,2019-11-06,,{}
edg_0032,per_0024,PERSON,OWNS,cmp_0045,COMPANY,70,1,2022-09-30,,{}
edg_0033,per_0005,PERSON,OWNS,cmp_0046,COMPANY,100,1,2018-10-27,,{}
edg_0034,per_0016,PERSON,OWNS,cmp_0049,COMPANY,70,1,2021-08-17,,{}
edg_0035,per_0046,PERSON,OWNS,cmp_0050,COMPANY,100,1,2022-04-29,,{}
edg_0036,per_0011,PERSON,OWNS,cmp_0051,COMPANY,70,1,2019-09-01,,{}
edg_0037,per_0021,PERSON,OWNS,cmp_0053,COMPANY,100,1,2021-02-16,,{}
edg_0038,per_0010,PERSON,OWNS,cmp_0054,COMPANY,51,1,2023-08-14,,{}
edg_0039,per_0002,PERSON,OWNS,cmp_0055,COMPANY,100,1,2021-01-25,,{}
edg_0040,per_0030,PERSON,OWNS,cmp_0057,COMPANY,70,1,2019-08-14,,{}
edg_0041,per_0023,PERSON,OWNS,cmp_0058,COMPANY,100,1,2021-12-26,,{}
edg_0042,per_0011,PERSON,OWNS,cmp_0059,COMPANY,100,1,2024-10-07,,{}
edg_0043,trs_0002,TRUST,BENEFICIARY_OF,per_0027,PERSON,25,1,2024-09-12,,{}
edg_0044,trs_0006,TRUST,BENEFICIARY_OF,per_0020,PERSON,25,1,2020-03-04,,{}
edg_0045,trs_0008,TRUST,BENEFICIARY_OF,per_0018,PERSON,15,1,2018-07-31,,{}
edg_0046,trs_0009,TRUST,BENEFICIARY_OF,per_0053,PERSON,30,1,2024-06-10,,{}
edg_0047,trs_0010,TRUST,BENEFICIARY_OF,per_0050,PERSON,20,1,2024-11-02,,{}
edg_0048,cmp_0036,COMPANY,TRUSTEE_OF,trs_0001,TRUST,,1,2019-09-03,,{}
edg_0049,cmp_0027,COMPANY,TRUSTEE_OF,trs_0002,TRUST,,1,2018-12-21,,{}
edg_0050,cmp_0044,COMPANY,TRUSTEE_OF,trs_0004,TRUST,,1,2023-02-16,,{}
