id,investor_id,investor_type,fund_id,role,subscription_date,commitment_currency
par_0001,per_0047,PERSON,fnd_0007,SPV,2026-04-20,USD
par_0002,cmp_0005,COMPANY,fnd_0001,LP,2023-10-19,USD
par_0003,per_0033,PERSON,fnd_0007,LP,2021-09-05,USD
par_0004,per_0090,PERSON,fnd_0004,LP,2026-03-06,USD
par_0005,per_0044,PERSON,fnd_0004,LP,2026-04-06,USD
par_0006,per_0019,PERSON,fnd_0002,LP,2022-01-01,USD
par_0007,per_0066,PERSON,fnd_0002,LP,2022-12-07,USD
par_0008,per_0048,PERSON,fnd_0005,LP,2024-03-27,USD
par_0009,per_0017,PERSON,fnd_0004,LP,2024-11-06,USD
par_0010,per_0074,PERSON,fnd_0004,LP,2023-08-25,USD
par_0011,trs_0003,TRUST,fnd_0008,LP,2021-12-21,USD
par_0012,per_0069,PERSON,fnd_0008,LP,2023-05-06,USD
par_0013,cmp_0034,COMPANY,fnd_0004,LP,2022-07-15,USD
par_0014,cmp_0018,COMPANY,fnd_0006,LP,2021-09-15,USD
par_0015,per_0005,PERSON,fnd_0007,LP,2024-09-26,USD
par_0016,per_0058,PERSON,fnd_0006,LP,2024-02-06,USD
par_0017,per_0006,PERSON,fnd_0007,GP,2022-04-28,USD
par_0018,per_0032,PERSON,fnd_0002,LP,2026-03-13,USD
par_0019,per_0089,PERSON,fnd_0008,LP,2022-01-04,USD
par_0020,per_0017,PERSON,fnd_0007,LP,2021-10-13,USD
par_0021,per_0009,PERSON,fnd_0008,GP,2024-04-13,USD
par_0022,per_0018,PERSON,fnd_0003,LP,2024-06-05,USD
par_0023,per_0014,PERSON,fnd_0001,GP,2024-09-06,USD
par_0024,per_0030,PERSON,fnd_0002,GP,2023-03-27,USD
par_0025,cmp_0022,COMPANY,fnd_0001,LP,2023-01-29,USD
par_0026,per_0051,PERSON,fnd_0001,LP,2022-10-12,USD
par_0027,cmp_0026,COMPANY,fnd_0003,LP,2025-02-21,USD
par_0028,per_0086,PERSON,fnd_0008,LP,2025-01-05,USD
par_0029,per_0069,PERSON,fnd_0003,GP,2023-02-28,USD
par_0030,cmp_0036,COMPANY,fnd_0002,LP,2021-03-04,USD
par_0031,per_0006,PERSON,fnd_0003,LP,2023-08-12,USD
par_0032,per_0021,PERSON,fnd_0008,LP,2024-10-10,USD
par_0033,per_0010,PERSON,fnd_0006,LP,2021-12-08,USD
par_0034,cmp_0021,COMPANY,fnd_0004,LP,2025-08-12,USD
par_0035,per_0028,PERSON,fnd_0007,LP,2025-05-09,USD
par_0036,cmp_0035,COMPANY,fnd_0008,LP,2025-01-26,USD
par_0037,per_0034,PERSON,fnd_0001,LP,2025-12-26,USD
par_0038,per_0059,PERSON,fnd_0006,SPV,2021-08-07,USD
par_0039,per_0011,PERSON,fnd_0008,LP,2024-10-27,USD
par_0040,trs_0006,TRUST,fnd_0007,LP,2023-10-16,USD
par_0041,per_0017,PERSON,fnd_0008,LP,2023-11-16,USD
par_0042,cmp_0017,COMPANY,fnd_0002,LP,2023-12-06,USD
par_0043,per_0018,PERSON,fnd_0007,LP,2023-07-14,USD
par_0044,per_0008,PERSON,fnd_0004,LP,2024-08-05,USD
par_0045,cmp_0036,COMPANY,fnd_0002,LP,2025-03-01,USD
par_0046,cmp_0034,COMPANY,fnd_0004,LP,2021-12-27,USD
par_0047,per_0067,PERSON,fnd_0005,SPV,2021-04-06,USD
par_0048,trs_0001,TRUST,fnd_0003,LP,2024-03-05,USD
par_0049,per_0085,PERSON,fnd_0008,LP,2024-07-16,USD
par_0050,per_0078,PERSON,fnd_0003,LP,2025-03-25,USD
par_0051,per_0072,PERSON,fnd_0008,LP,2025-11-17,USD
par_0052,cmp_0037,COMPANY,fnd_0006,SPV,2021-08-22,USD
par_0053,per_0088,PERSON,fnd_0005,LP,2022-11-11,USD
par_0054,per_0016,PERSON,fnd_0006,LP,2021-09-30,USD
par_0055,per_0090,PERSON,fnd_0006,LP,2024-02-10,USD
par_0056,per_0001,PERSON,fnd_0008,LP,2025-07-12,USD
par_0057,per_0012,PERSON,fnd_0002,LP,2024-12-03,USD
par_0058,per_0031,PERSON,fnd_0001,LP,2022-02-19,USD
par_0059,per_0050,PERSON,fnd_0006,LP,2026-04-24,USD
par_0060,cmp_0005,COMPANY,fnd_0005,LP,2025-02-19,USD
par_0061,cmp_0001,COMPANY,fnd_0006,LP,2025-05-01,USD
par_0062,trs_0006,TRUST,fnd_0001,LP,2024-06-13,USD
par_0063,cmp_0011,COMPANY,fnd_0003,LP,2025-09-16,USD
par_0064,trs_0003,TRUST,fnd_0002,LP,2021-04-29,USD
par_0065,per_0053,PERSON,fnd_0002,LP,2026-03-07,USD
par_0066,trs_0001,TRUST,fnd_0001,LP,2025-11-24,USD
par_0067,cmp_0036,COMPANY,fnd_0003,LP,2023-07-29,USD
par_0068,cmp_0005,COMPANY,fnd_0002,LP,2022-04-29,USD
par_0069,per_0063,PERSON,fnd_0001,GP,2021-06-04,USD
par_0070,per_0033,PERSON,fnd_0005,LP,2025-08-18,USD
par_0071,cmp_0024,COMPANY,fnd_0003,LP,2025-07-03,USD
par_0072,per_0028,PERSON,fnd_0008,LP,2024-10-28,USD
par_0073,per_0008,PERSON,fnd_0007,LP,2023-11-27,USD
par_0074,per_0031,PERSON,fnd_0003,LP,2021-06-18,USD
par_0075,per_0008,PERSON,fnd_0002,GP,2024-01-14,USD
par_0076,per_0022,PERSON,fnd_0007,LP,2023-08-09,USD
par_0077,cmp_0010,COMPANY,fnd_0005,SPV,2024-03-07,USD
par_0078,per_0038,PERSON,fnd_0003,LP,2021-11-11,USD
par_0079,cmp_0023,COMPANY,fnd_0007,LP,2025-11-20,USD
par_0080,per_0005,PERSON,fnd_0006,LP,2021-04-18,USD
par_0081,cmp_0025,COMPANY,fnd_0002,LP,2021-08-24,USD
par_0082,per_0068,PERSON,fnd_0003,LP,2025-01-03,USD
par_0083,per_0040,PERSON,fnd_0008,GP,2025-01-27,USD
par_0084,per_0053,PERSON,fnd_0008,LP,2022-10-27,USD
par_0085,per_0079,PERSON,fnd_0006,LP,2025-05-27,USD
par_0086,per_0074,PERSON,fnd_0003,LP,2023-08-29,USD
par_0087,per_0084,PERSON,fnd_0007,LP,2022-03-03,USD
par_0088,per_0080,PERSON,fnd_0001,LP,2023-11-01,USD
par_0089,per_0054,PERSON,fnd_0008,LP,2025-07-06,USD
par_0090,per_0068,PERSON,fnd_0003,LP,2024-09-09,USD
par_0091,per_0038,PERSON,fnd_0006,LP,2021-02-28,USD
par_0092,cmp_0018,COMPANY,fnd_0008,LP,2022-06-24,USD
par_0093,cmp_0006,COMPANY,fnd_0005,LP,2022-11-09,USD
par_0094,cmp_0023,COMPANY,fnd_0006,LP,2021-09-24,USD
par_0095,per_0045,PERSON,fnd_0003,SPV,2024-09-22,USD
par_0096,per_0085,PERSON,fnd_0007,LP,2024-04-19,USD
par_0097,per_0084,PERSON,fnd_0006,LP,2024-07-18,USD
par_0098,per_0053,PERSON,fnd_0004,LP,2021-10-21,USD
par_0099,per_0084,PERSON,fnd_0008,LP,2024-01-02,USD
par_0100,cmp_0001,COMPANY,fnd_0004,LP,2026-04-22,USD
par_0101,trs_0008,TRUST,fnd_0006,LP,2025-10-18,USD
par_0102,per_0049,PERSON,fnd_0001,LP,2023-04-23,USD
par_0103,per_0030,PERSON,fnd_0007,LP,2021-10-30,USD
par_0104,per_0011,PERSON,fnd_0003,LP,2023-12-12,USD
par_0105,per_0089,PERSON,fnd_0003,SPV,2026-01-17,USD
par_0106,trs_0005,TRUST,fnd_0004,LP,2023-05-22,USD
par_0107,per_0081,PERSON,fnd_0005,LP,2023-03-26,USD
par_0108,per_0005,PERSON,fnd_0001,LP,2022-11-06,USD
par_0109,cmp_0016,COMPANY,fnd_0007,LP,2021-11-11,USD
par_0110,per_0078,PERSON,fnd_0007,LP,2024-09-01,USD
par_0111,trs_0003,TRUST,fnd_0004,LP,2025-11-01,USD
par_0112,trs_0004,TRUST,fnd_0006,LP,2025-05-27,USD
par_0113,trs_0001,TRUST,fnd_0004,LP,2023-07-30,USD
par_0114,per_0043,PERSON,fnd_0004,LP,2025-10-06,USD
par_0115,per_0065,PERSON,fnd_0006,LP,2023-11-04,USD
par_0116,per_0076,PERSON,fnd_0003,SPV,2021-06-06,USD
par_0117,per_0010,PERSON,fnd_0003,SPV,2022-05-01,USD
par_0118,per_0026,PERSON,fnd_0007,LP,2026-02-09,USD
par_0119,per_0066,PERSON,fnd_0005,LP,2021-08-12,USD
par_0120,trs_0006,TRUST,fnd_0005,LP,2023-04-16,USD
par_0121,cmp_0012,COMPANY,fnd_0007,LP,2022-04-25,USD
par_0122,trs_0011,TRUST,fnd_0008,LP,2021-07-21,USD
par_0123,per_0077,PERSON,fnd_0002,LP,2025-10-03,USD
par_0124,trs_0002,TRUST,fnd_0002,LP,2026-03-24,USD
par_0125,cmp_0023,COMPANY,fnd_0004,LP,2024-11-25,USD
par_0126,per_0028,PERSON,fnd_0002,GP,2023-06-28,USD
par_0127,per_0050,PERSON,fnd_0008,LP,2024-05-26,USD
par_0128,per_0078,PERSON,fnd_0006,SPV,2022-09-26,USD
