id,payment_ref,payment_date,amount,currency,expected_currency,from_account_id,from_counterparty_id,from_counterparty_type,to_fund_id,to_account_id,payment_purpose,funding_source,matching_capital_call_id,matching_allocated_amount,status,anomaly_metadata
pay_0001,TX-438141,2026-06-25,2081655,USD,USD,bac_0037,per_0037,PERSON,fnd_0008,,Distribution,OWN_FUNDS,cca_0042,2087650,SETTLED,
pay_0002,TX-938984,2026-04-11,10958141,USD,USD,bac_0148,cmp_0028,COMPANY,fnd_0007,,Distribution,OWN_FUNDS,cca_0040,11076790,SETTLED,
pay_0003,TX-258568,2026-07-04,173548,USD,USD,bac_0146,cmp_0026,COMPANY,fnd_0005,,Subsequent subscription,OWN_FUNDS,cca_0027,165659,SETTLED,
pay_0004,TX-416550,2026-04-29,276208,USD,USD,bac_0070,per_0070,PERSON,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0044,284915,SETTLED,
pay_0005,TX-169693,2026-07-09,11691029,USD,USD,bac_0047,per_0047,PERSON,fnd_0007,,Distribution,OWN_FUNDS,cca_0036,11518465,SETTLED,
pay_0006,TX-572474,2026-07-26,30787644,USD,USD,bac_0174,cmp_0054,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0032,31892841,SETTLED,
pay_0007,TX-218698,2026-06-22,987781,USD,USD,bac_0083,per_0083,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,947053,SETTLED,
pay_0008,TX-348285,2026-06-03,5963188,USD,USD,bac_0120,per_0120,PERSON,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0043,5844642,SETTLED,
pay_0009,TX-437942,2026-07-06,25599127,USD,USD,bac_0022,per_0022,PERSON,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0035,25034763,SETTLED,
pay_0010,TX-737609,2026-05-31,1222462,USD,USD,bac_0113,per_0113,PERSON,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0044,1224003,SETTLED,"{""class"": ""SANCTIONED_PAYER"", ""detail"": ""payer resembles sanctions entry""}"
pay_0011,TX-507968,2026-06-20,4372807,USD,USD,bac_0004,per_0004,PERSON,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0039,4446834,SETTLED,
pay_0012,TX-928837,2026-06-30,4523581,USD,USD,bac_0015,per_0015,PERSON,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0034,4665154,SETTLED,
pay_0013,TX-383233,2026-07-14,9173517,AED,USD,bac_0149,cmp_0029,COMPANY,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0029,9194463,SETTLED,"{""class"": ""UNEXPECTED_CURRENCY"", ""detail"": ""AED received, USD expected""}"
pay_0014,TX-228465,2026-07-28,78792,USD,USD,bac_0133,cmp_0013,COMPANY,fnd_0007,,Subsequent subscription,THIRD_PARTY,cca_0037,82011,SETTLED,
pay_0015,TX-766662,2026-04-24,482554,USD,USD,bac_0023,per_0023,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0037,495794,SETTLED,
pay_0016,TX-525998,2026-07-12,25535034,USD,USD,bac_0127,cmp_0007,COMPANY,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0043,26026653,SETTLED,
pay_0017,TX-236138,2026-07-30,84425,USD,USD,bac_0172,cmp_0052,COMPANY,fnd_0007,,Distribution,OWN_FUNDS,cca_0037,82011,SETTLED,
